rank,feature,feature_name,consensus_weight,direction,p_value,p_fdr,significant,effect_size,boruta_fraction,boruta_confirmed,stability_pct,xgb_importance
13,mean_BYPASSED_OPPONENTS_NUMBER_FROM_PITCH_POSITION_FIRST_THIRD,BYPASSED_OPPONENTS_NUMBER_FROM_PITCH_POSITION_FIRST_THIRD,0.005441310431538779,higher,0.004596088619024689,0.09232143226040897,False,0.37579759803024715,0.1,False,40.0,0.0034696553
14,mean_OPP_PXT_PASS,OPP_PXT_PASS,0.005426587447344937,lower,0.0009785253803598723,0.06744273818792866,False,-0.4893876316646156,0.02,False,34.0,0.0021385448
15,mean_UNSUCCESSFUL_PASSES_BY_ACTION_LOW_PASS,UNSUCCESSFUL_PASSES_BY_ACTION_LOW_PASS,0.005354321562355055,higher,0.0012485061340444584,0.06744273818792866,False,0.3790412179338858,0.18,False,36.0,0.0023663
16,mean_UNSUCCESSFUL_PASSES_BY_ACTION_GOAL_KICK,UNSUCCESSFUL_PASSES_BY_ACTION_GOAL_KICK,0.005188295048128311,lower,0.006130351365158827,0.10115079752512064,False,-0.277131412195632,0.0,False,40.0,0.0075929128
17,mean_BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_GOAL_KICK,BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_GOAL_KICK,0.005151321661740244,lower,0.000982972688774367,0.06744273818792866,False,-0.3919476636333745,0.12,False,30.0,0.0033577995
18,mean_BYPASSED_OPPONENTS_NUMBER_FROM_LANE_CENTER,BYPASSED_OPPONENTS_NUMBER_FROM_LANE_CENTER,0.005037893419499871,higher,0.01583187413650841,0.15526232557590108,False,0.40694700788259486,0.02,False,28.000000000000004,0.0045335777
19,mean_BYPASSED_OPPONENTS_NUMBER_AT_PHASE_IN_POSSESSION,BYPASSED_OPPONENTS_NUMBER_AT_PHASE_IN_POSSESSION,0.004993304123515683,higher,0.0030422121077680856,0.07592156851208674,False,0.45434491986259534,0.06,False,28.000000000000004,0.0018315961
20,mean_SUCCESSFUL_PASSES_FROM_PITCH_POSITION_FIRST_THIRD,SUCCESSFUL_PASSES_FROM_PITCH_POSITION_FIRST_THIRD,0.004972224426524975,higher,0.0017517594334526924,0.06744273818792866,False,0.33702385428818854,0.08,False,30.0,0.0051639336
21,mean_BYPASSED_OPPONENTS_BY_ACTION_LOW_PASS,BYPASSED_OPPONENTS_BY_ACTION_LOW_PASS,0.004970120258918982,higher,0.0032866479875362222,0.07592156851208674,False,0.46570410620047875,0.0,False,34.0,0.0009833304
22,mean_SECOND_BALL_WIN,SECOND_BALL_WIN,0.004965594400876278,higher,0.005958686351529172,0.10115079752512064,False,0.46301492310363046,0.06,False,28.000000000000004,0.001369958
